                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5229,                 6.5173,                 4.4014,                  1.334,                0.01582,                0.45738,                0.07282,                0.05261,                0.01058,                0.30758,                0.05584,                 0.0211,                0.99676,                 5.0262,                 4.0161,                0.95611,                 0.0032,                 0.0032,                 0.0032
                      2,                 1.0599,                 2.3629,                 3.0213,                0.98938,                0.88932,                0.07624,                0.28337,                 0.2315,                0.88795,                0.07569,                0.28095,                0.17868,                0.92465,                 3.6199,                  3.359,                0.92496,              0.0064893,              0.0064893,              0.0064893
                      3,                 1.1087,                 2.0118,                 1.9436,                0.99338,                 0.8735,                0.22157,                0.51513,                0.39255,                 0.8735,                0.22157,                0.51182,                0.30277,                0.95977,                 2.2722,                 2.6503,                0.99873,              0.0097677,              0.0097677,              0.0097677
                      4,                 1.0107,                 1.8289,                 1.4305,                0.97291,                 0.6498,                0.49829,                0.59214,                0.43909,                0.64855,                0.49627,                0.58311,                0.34848,                0.96135,                 2.2044,                 1.9174,                 1.0156,              0.0099505,              0.0099505,              0.0099505
                      5,                0.96839,                 1.6354,                  1.157,                0.96282,                0.75015,                0.44474,                0.55913,                0.38979,                0.74719,                0.44107,                0.54022,                0.29097,                  1.175,                 2.9939,                 2.2198,                 1.1409,              0.0099505,              0.0099505,              0.0099505
                      6,                0.91207,                 1.4947,                 1.0001,                0.94928,                0.82583,                0.82381,                0.86271,                0.64288,                0.82731,                0.82559,                 0.8654,                0.55459,                0.83655,                 1.5574,                 1.0765,                0.95043,               0.009934,               0.009934,               0.009934
                      7,                0.90546,                 1.4545,                0.94043,                0.94992,                0.88845,                0.90203,                0.93867,                0.71313,                0.88751,                0.90054,                0.93478,                 0.6479,                0.77655,                 1.2448,                0.80223,                 0.9299,              0.0099175,              0.0099175,              0.0099175
                      8,                0.87101,                  1.382,                0.88331,                0.94217,                0.90905,                0.88463,                0.93001,                0.71707,                0.90842,                0.88323,                0.92873,                0.63136,                0.77751,                 1.3231,                0.76821,                0.91525,               0.009901,               0.009901,               0.009901
                      9,                0.88499,                 1.3832,                0.84125,                 0.9374,                0.91948,                 0.9521,                0.95809,                0.74447,                0.91321,                0.94721,                0.94953,                0.65437,                0.74125,                 1.2041,                0.68226,                 0.9087,              0.0098845,              0.0098845,              0.0098845
                     10,                0.84525,                 1.3242,                0.81136,                0.92767,                0.90524,                0.93814,                0.95559,                0.74752,                0.89867,                0.93348,                0.95113,                0.66007,                0.71214,                 1.1636,                0.72474,                0.89807,               0.009868,               0.009868,               0.009868
                     11,                0.82704,                 1.2896,                0.79182,                0.92416,                0.91807,                0.90279,                  0.936,                0.71632,                0.91256,                0.89761,                 0.9301,                0.62025,                0.77044,                 1.2578,                0.73509,                0.92439,              0.0098515,              0.0098515,              0.0098515
                     12,                0.80874,                 1.2626,                0.75631,                0.92214,                0.93356,                0.88634,                0.94172,                0.72966,                 0.9292,                0.88261,                 0.9359,                0.64724,                0.73839,                 1.2477,                0.71308,                0.91441,               0.009835,               0.009835,               0.009835
                     13,                0.80373,                  1.231,                0.73283,                0.91792,                0.93662,                0.94837,                0.96414,                0.77287,                0.92916,                  0.954,                0.96126,                0.69286,                0.66888,                 1.0371,                0.61525,                0.88831,              0.0098185,              0.0098185,              0.0098185
                     14,                 0.7955,                  1.201,                0.71853,                0.91614,                0.92027,                0.95813,                0.96582,                0.76858,                0.91512,                0.95374,                0.96173,                0.68541,                0.68012,                  1.087,                0.60915,                0.89593,               0.009802,               0.009802,               0.009802
                     15,                0.77921,                 1.1848,                0.69844,                0.91453,                0.92793,                0.94721,                 0.9643,                0.75559,                0.92487,                0.94514,                0.96128,                0.68273,                0.70425,                 1.0755,                0.62564,                0.89479,              0.0097855,              0.0097855,              0.0097855
                     16,                0.78968,                 1.1841,                 0.7012,                0.91651,                0.93475,                0.95786,                0.96201,                0.76744,                0.93155,                0.95469,                0.95659,                0.67047,                0.66691,                 1.0118,                0.58659,                0.88542,               0.009769,               0.009769,               0.009769
                     17,                0.78539,                  1.192,                 0.6977,                 0.9176,                0.92792,                0.96422,                0.96836,                0.77959,                0.93225,                0.95608,                0.96617,                0.69882,                0.67649,                 1.0438,                0.57955,                0.88627,              0.0097525,              0.0097525,              0.0097525
                     18,                0.77044,                 1.1648,                0.67232,                0.90958,                0.92973,                0.95045,                0.96236,                0.76608,                0.92728,                0.94795,                0.95892,                0.65941,                0.69368,                 1.1248,                0.60003,                0.89712,               0.009736,               0.009736,               0.009736
                     19,                0.76759,                 1.1542,                0.67539,                0.90901,                0.91724,                0.92968,                0.95473,                 0.7523,                0.91672,                0.91715,                0.94653,                0.66052,                0.72128,                 1.2696,                0.63933,                0.90551,              0.0097195,              0.0097195,              0.0097195
                     20,                0.77356,                 1.1495,                0.66686,                 0.9088,                0.93079,                0.94557,                0.97202,                0.77664,                0.93079,                0.94557,                0.97146,                0.71545,                0.68517,                0.97282,                0.57646,                0.88812,               0.009703,               0.009703,               0.009703
                     21,                0.75678,                 1.1481,                0.65596,                0.91084,                0.92331,                0.95958,                0.96512,                0.77519,                0.92135,                0.95774,                0.96554,                0.69739,                0.67532,                  1.036,                0.55666,                0.88971,              0.0096865,              0.0096865,              0.0096865
                     22,                0.76889,                 1.1345,                0.64371,                0.91097,                0.92241,                0.96121,                 0.9598,                0.77726,                0.92167,                0.96038,                0.95889,                0.69164,                0.66197,                 1.0197,                0.56591,                0.89243,                0.00967,                0.00967,                0.00967
                     23,                0.74308,                  1.106,                 0.6342,                0.90167,                0.93663,                0.96238,                0.96497,                0.78427,                0.93612,                0.96186,                0.96444,                0.70441,                0.63962,                0.98541,                 0.5212,                0.88218,              0.0096535,              0.0096535,              0.0096535
                     24,                0.74791,                 1.0954,                0.61807,                0.89951,                0.91839,                0.97105,                0.96683,                0.79184,                0.91431,                0.96589,                0.96125,                0.70535,                0.62839,                0.93522,                0.51163,                0.87966,               0.009637,               0.009637,               0.009637
                     25,                0.74138,                 1.1117,                0.61328,                0.90541,                0.93805,                0.95482,                0.97072,                0.79257,                0.93519,                0.95209,                0.96672,                0.70309,                0.63355,                0.97939,                 0.5159,                0.87412,              0.0096205,              0.0096205,              0.0096205
                     26,                0.73546,                 1.0913,                0.60474,                0.89702,                 0.9434,                 0.9652,                 0.9718,                0.78684,                0.94165,                0.95895,                0.96745,                0.69789,                0.64691,                0.94219,                0.52593,                0.88941,               0.009604,               0.009604,               0.009604
                     27,                0.74161,                 1.1068,                0.61269,                0.90355,                 0.9346,                 0.9572,                0.96275,                0.78343,                0.92238,                0.94367,                0.94907,                0.67869,                0.65612,                 1.0359,                0.52095,                0.88708,              0.0095875,              0.0095875,              0.0095875
                     28,                0.72793,                 1.0656,                0.58762,                0.90016,                0.94721,                0.95229,                0.96914,                 0.7658,                0.93934,                0.94382,                0.96077,                0.65842,                0.67651,                 1.0097,                0.51679,                0.89515,               0.009571,               0.009571,               0.009571
                     29,                0.72876,                 1.0853,                0.58815,                0.89895,                0.94596,                0.95087,                0.97001,                0.79512,                0.93507,                 0.9405,                0.96057,                0.70281,                0.63895,                 1.0002,                0.50186,                0.88271,              0.0095545,              0.0095545,              0.0095545
                     30,                0.72237,                  1.066,                0.57717,                0.89921,                0.94065,                0.97558,                0.96944,                0.79422,                0.93834,                0.97317,                0.96651,                0.71041,                0.62153,                0.93462,                0.48157,                0.87712,               0.009538,               0.009538,               0.009538
